sentence1,sentence2,label,preds,truth
"Three women on a stage , one wearing red shoes , black pants , and a gray shirt is sitting on a prop , another is sitting on the floor , and the third wearing a black shirt and pants is standing , as a gentleman in the back tunes an instrument .",There are two women standing on the stage,contradiction,1,0
"Four people sit on a subway two read books , one looks at a cellphone and is wearing knee high boots .","Multiple people are on a subway together , with each of them doing their own thing .",entailment,2,1
Two people are in a green forest .,The forest is not dead .,entailment,0,1
"Two women , one walking her dog the other pushing a stroller .",There is a snowstorm .,contradiction,2,0
Three people and a white dog are sitting in the sand on a beach .,Three dogs and a person are sitting in the snow .,contradiction,1,0
A large group of people stand outside on a road while people on a higher level look on at them .,One group of people are watching what another group does .,entailment,0,1
Man in white shirt and blue jeans looking to the side while walking down a busy sidewalk .,Man has a blue shirt on .,contradiction,1,0
A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air .,A band plays at a beach party .,neutral,1,2
People walk amongst a traffic jam in a crowded city .,The traffic is halted and people are walking between the cars .,entailment,2,1
A live band on a lawn jamming out .,A band is practicing new tunes in the garage .,contradiction,2,0
A middle-aged man is sitting indian style outside holding a folded paper in his hands .,A middle aged man is showing off his origami creation .,neutral,0,2
Persons standing underneath an arch way .,Persons are standing outdoors under a bridge archway .,neutral,1,2
"A woman walking a dog on a leash at the beach , trailing behind as a pug follows another unseen woman .",a large woman walks a dog,neutral,1,2
A group of power workers at the site of a car crash .,A group of power workers at the site of a plane crash .,contradiction,1,0
People work diligently on there computers at their desks .,The desk chairs were empty as the people lazily wasted the day away drinking .,contradiction,2,0
"A gray-haired woman wearing tan pants , a yellow and white jacket and sunglasses is sitting on a bench .",The woman has gray hair .,entailment,0,1
A building that portrays beautiful architecture stands in the sunlight as somebody on a bike passes by .,A bicyclist rides past an abandoned warehouse on a rainy day,neutral,0,2
A soccer player wearing white shorts and an orange and green shirt holds the ball while being guarded by another soccer player in a blue uniform .,A football player throws a touchdown pass .,contradiction,2,0
A little girl looking at a large boulder,A girl closes her eyes .,contradiction,1,0
"A man dressed entirely orange is taking a photo of a man sitting , there is a big group of people sitting nearby .",The man is wearing red .,contradiction,1,0
A female basketball player dribbling down court .,A basketball player is destroying the ball .,neutral,0,2
"Dinner and decisions , with the crew .",the crew was having dinner,entailment,2,1
"A gentleman cooks multiple dishes while preparing extra ingredients in his kitchen , windows open behind him .",A chef prepares a meal for a food critic .,neutral,1,2
A person is climbing a cliff wall that overlooks water .,A man is climbing .,neutral,1,2
A man in a striped shirt and lady in a black hat are watching a young band perform on stage .,A lady has a black hat .,entailment,0,1
A young boy wearing blue shorts is splashing is a blue kiddie pool .,The young boy is wearing red shorts .,contradiction,2,0
"At a little league baseball game , an umpire calls `` safe '' as a player crosses home .",A player crosses home at a little league baseball game .,entailment,2,1
An older man in an apron cleaning .,A man is mopping the floor .,neutral,0,2
An Asian man is cooking food .,The man is preparing lunch .,neutral,0,2
A small girl wearing a pink jacket is riding on a carousel .,The girl is moving at the speed of light .,contradiction,1,0
A basset hound is tied to a doorway in an alley in front of a man and woman .,It is their dog .,neutral,1,2
two puppies playing around in the grass,two puppies scratching at the door to go out .,contradiction,2,0
two girls sitting by a tree while playing .,The girls are not near a tree .,contradiction,1,0
A woman with long dark hair is carrying a bag over her shoulder which says `` hot '' in metallic pink letters .,A brunette completes her look with a trendy bag that spells `` HOT '' in flashy pink letters .,entailment,2,1
A party is held and many people mingle and gather for the occasion .,Many people are mingling at a party .,entailment,2,1
A dog with big ears holds a ball in his mouth .,The dog has big ears .,entailment,2,1
Dog standing in grassy sand dune .,A basset hound runs by a park bench .,contradiction,2,0
"A woman in a bathroom , sitting on the sink , is doing her makeup .",A woman puts on clown makeup .,neutral,1,2
A man in a white shirt waves his hand under a white and blue umbrella .,A man sitting under an umbrella on the beach is waving at others .,neutral,0,2
The man and woman are both smiling .,A man and a woman are frowning looking at the clock .,contradiction,2,0
Two dogs play with tennis ball in field .,Dogs are watching a tennis match .,contradiction,2,0
A man and a woman repairing something .,A male and female work together to repair something .,entailment,2,1
